Original Header:
Sensor Name: MAX30100
Cow ID: 129
I2CAddress: 0x57
Sampling frequency: 25 Hz
Data Format: 
	IR_0, RED_0, T_0, t0
	IR_1, RED_1, T_1, t1
	...
	...
	...
	IR_n, RED_n, T_n, tn
	Where IR is the MAX30100's infared count expressed as an unsigned short. (16-bit) RED is the MAX30100's RED count expressed as an unsigned short. T is the MAX30100's temperature expressed as a 32-bit float. The value is in degrees C. t is the time that the data point was taken in seconds, from the epoch. It is a double precision float. (64-bit) Each data point consists of this 3 value plus a timestamp, sequentially written to file. 
!@#

CSV Header:
The time is in seconds, subtracting off the startTime.
!@#
7264, 8208, 26.0, 22.832061
7264, 8200, 26.0, 22.872345
7268, 8192, 26.0, 22.912109
7252, 8188, 26.0, 22.952087
7256, 8196, 26.0, 22.992218
7264, 8200, 26.0, 23.032104
7240, 8196, 26.0, 23.072052
7256, 8200, 26.0, 23.112121
7264, 8204, 26.0, 23.152038
7240, 8196, 26.0, 23.192077
7248, 8188, 26.0, 23.232086
7264, 8200, 26.0, 23.272094
7260, 8196, 26.0, 23.312042
7248, 8192, 26.0, 23.352142
7252, 8204, 26.0, 23.392090
7264, 8188, 26.0, 23.432251
7248, 8208, 26.0, 23.472076
7252, 8176, 26.0, 23.512115
7252, 8196, 26.0, 23.552093
7260, 8228, 26.0, 23.592163
7248, 8184, 26.0, 23.632049
7252, 8184, 26.0, 23.672058
7268, 8212, 26.0, 23.712097
7252, 8200, 26.0, 23.752136
7252, 8180, 26.3, 23.797668
7284, 8220, 26.3, 23.832153
7260, 8208, 26.3, 23.872040
7236, 8172, 26.3, 23.912079
7268, 8196, 26.3, 23.953277
7260, 8208, 26.3, 24.050140
7256, 8208, 26.3, 24.087097
7256, 8184, 26.3, 24.127136
7256, 8204, 26.3, 24.167022
7260, 8200, 26.3, 24.207123
7256, 8196, 26.3, 24.247040
7252, 8208, 26.3, 24.287109
7268, 8200, 26.3, 24.327148
7252, 8200, 26.3, 24.367096
7252, 8188, 26.3, 24.407135
7256, 8200, 26.3, 24.447143
7256, 8192, 26.3, 24.487182
7256, 8192, 26.3, 24.527160
7260, 8196, 26.3, 24.567138
7268, 8204, 26.3, 24.607055
7252, 8192, 26.3, 24.647064
7248, 8196, 26.3, 24.687042
7260, 8196, 26.3, 24.727112
7276, 8192, 26.3, 24.767029
7264, 8188, 26.3, 24.807068
7268, 8200, 25.7, 24.852417
7272, 8204, 25.7, 24.887115
7256, 8192, 25.7, 24.927093
7256, 8192, 25.7, 24.967132
7264, 8208, 25.7, 25.007110
7244, 8212, 25.7, 25.047088
7248, 8200, 25.7, 25.087127
7256, 8196, 25.7, 25.126983
7264, 8204, 25.7, 25.167145
7260, 8188, 25.7, 25.207061
7260, 8204, 25.7, 25.247162
7248, 8188, 25.7, 25.287018
7252, 8208, 25.7, 25.327148
7252, 8192, 25.7, 25.367157
7256, 8196, 25.7, 25.407104
7276, 8200, 25.7, 25.447082
7240, 8192, 25.7, 25.487213
7240, 8180, 25.7, 25.527343
7248, 8204, 25.7, 25.567138
7248, 8208, 25.7, 25.607086
7252, 8196, 25.7, 25.647064
7252, 8196, 25.7, 25.687164
7244, 8176, 25.7, 25.727051
7268, 8200, 25.7, 25.767120
7256, 8196, 25.7, 25.810913
7264, 8188, 25.6, 25.869598
7256, 8200, 25.6, 25.901764
7260, 8192, 25.6, 25.927063
7256, 8196, 25.6, 25.967071
7256, 8184, 25.6, 26.007141
7244, 8184, 25.6, 26.047119
7264, 8208, 25.6, 26.087219
7244, 8196, 25.6, 26.127075
7244, 8168, 25.6, 26.167145
7264, 8204, 25.6, 26.207184
7276, 8212, 25.6, 26.247162
7240, 8188, 25.6, 26.287048
7252, 8180, 25.6, 26.327118
7268, 8216, 25.6, 26.366974
7248, 8196, 25.6, 26.407104
7244, 8188, 25.6, 26.447113
7236, 8188, 25.6, 26.487213
7260, 8180, 25.6, 26.527313
7240, 8184, 25.6, 26.567138
7268, 8180, 25.6, 26.607147
7276, 8200, 25.6, 26.647155
7248, 8192, 25.6, 26.687042
7256, 8192, 25.6, 26.727081
7268, 8204, 25.6, 26.767059
7256, 8196, 25.6, 26.807129
7244, 8192, 26.2, 26.852478
7264, 8188, 26.2, 26.887207
7264, 8196, 26.2, 26.927124
7260, 8196, 26.2, 26.967102
7248, 8180, 26.2, 27.007141
7260, 8200, 26.2, 27.047058
7256, 8208, 26.2, 27.087127
7240, 8184, 26.2, 27.127014
7260, 8192, 26.2, 27.167145
7256, 8200, 26.2, 27.207153
7252, 8196, 26.2, 27.247070
7256, 8188, 26.2, 27.287079
7256, 8204, 26.2, 27.327209
7260, 8196, 26.2, 27.367096
7240, 8188, 26.2, 27.407013
7244, 8188, 26.2, 27.447143
7268, 8188, 26.2, 27.487091
7264, 8192, 26.2, 27.527130
7244, 8172, 26.2, 27.567169
7244, 8188, 26.2, 27.607483
7260, 8204, 26.2, 27.647125
7252, 8196, 26.2, 27.687042
