Original Header:

Sensor Name: MCP9808_N2
Cow ID: 129
I2CAddress: 0x19
Sampling frequency: 1 Hz
Data Format: 
	T_0, t0
	T_1, t1
	...
	...
	...
	T_n, tn
	Where T is the temperature in single precision float format (32-bit). t is the time that the data point was taken in seconds, from the epoch. It is a double precision float. (64-bit) Each data point consists of a temperature and a timestamp, sequentially written to file. !@#

CSV Header:

The time is in seconds, subtracting off the startTime.
!@#
23.562, 1204.007477
23.625, 1205.007538
23.562, 1206.006744
23.562, 1207.006805
23.562, 1208.007812
23.625, 1208.991913
23.625, 1209.991974
23.625, 1210.992279
23.625, 1211.991913
23.625, 1212.992187
23.625, 1213.991913
23.625, 1214.991913
23.625, 1215.992096
23.625, 1216.992584
23.562, 1217.992218
23.562, 1219.010071
23.625, 1220.010711
23.625, 1221.010162
23.625, 1222.009948
23.688, 1223.010162
23.688, 1223.991913
23.688, 1224.993988
23.625, 1225.991913
23.625, 1226.991882
23.625, 1227.991913
23.625, 1228.991974
23.625, 1229.991943
23.625, 1230.992248
23.625, 1231.991913
23.625, 1232.992431
23.625, 1234.004455
23.625, 1235.002105
23.625, 1236.001648
23.625, 1237.001678
23.625, 1238.002197
23.625, 1239.011841
23.625, 1240.011261
23.625, 1241.011810
23.625, 1242.011200
23.625, 1243.009979
23.625, 1243.992065
23.688, 1244.992248
