volt, time
0.532, 1468260568.237121
0.532, 1468260568.238677
0.532, 1468260568.240173
0.530, 1468260568.241699
0.535, 1468260568.243225
0.532, 1468260568.244720
0.549, 1468260568.248443
0.532, 1468260568.250823
0.566, 1468260568.253173
0.564, 1468260568.256439
0.581, 1468260568.258819
0.576, 1468260568.261169
0.552, 1468260568.264251
0.557, 1468260568.268524
0.574, 1468260568.270233
0.554, 1468260568.271850
0.552, 1468260568.273437
0.549, 1468260568.275207
0.540, 1468260568.276794
0.542, 1468260568.278350
0.540, 1468260568.279876
0.537, 1468260568.281402
0.520, 1468260568.282897
0.527, 1468260568.284423
0.547, 1468260568.288330
0.542, 1468260568.290679
0.532, 1468260568.292968
0.566, 1468260568.297912
0.559, 1468260568.300323
0.571, 1468260568.302673
0.569, 1468260568.306488
0.588, 1468260568.309936
0.586, 1468260568.311645
0.564, 1468260568.313201
0.557, 1468260568.314758
0.547, 1468260568.316589
0.542, 1468260568.318145
0.532, 1468260568.319702
0.535, 1468260568.321197
0.537, 1468260568.322723
0.527, 1468260568.324249
0.537, 1468260568.327911
0.569, 1468260568.330322
0.559, 1468260568.332672
0.530, 1468260568.335968
0.547, 1468260568.338317
0.569, 1468260568.340759
0.542, 1468260568.343933
0.559, 1468260568.348052
0.581, 1468260568.349761
0.554, 1468260568.351379
0.549, 1468260568.352905
0.540, 1468260568.354461
0.540, 1468260568.356262
0.544, 1468260568.357818
0.540, 1468260568.359344
0.540, 1468260568.360870
0.535, 1468260568.362365
0.525, 1468260568.363891
0.542, 1468260568.368225
0.544, 1468260568.370544
0.525, 1468260568.372863
0.564, 1468260568.376068
0.579, 1468260568.378448
0.574, 1468260568.380767
0.566, 1468260568.384338
0.581, 1468260568.388336
0.581, 1468260568.390106
0.562, 1468260568.391693
0.552, 1468260568.393249
0.544, 1468260568.394989
0.544, 1468260568.396636
0.540, 1468260568.398193
0.530, 1468260568.399719
0.532, 1468260568.401245
0.522, 1468260568.402770
0.522, 1468260568.405578
0.564, 1468260568.408508
0.542, 1468260568.410827
0.535, 1468260568.413177
0.559, 1468260568.416442
0.571, 1468260568.418823
0.547, 1468260568.422546
0.588, 1468260568.426849
0.593, 1468260568.429870
0.574, 1468260568.431549
0.566, 1468260568.433135
0.547, 1468260568.434661
0.549, 1468260568.436523
0.535, 1468260568.438079
0.537, 1468260568.439605
0.525, 1468260568.441131
0.530, 1468260568.442626
0.535, 1468260568.444122
0.544, 1468260568.447875
0.557, 1468260568.450256
0.532, 1468260568.452636
0.535, 1468260568.456756
0.566, 1468260568.459564
0.576, 1468260568.461883
0.535, 1468260568.466217
0.586, 1468260568.469238
0.569, 1468260568.470916
0.557, 1468260568.472534
0.549, 1468260568.474060
0.540, 1468260568.475830
0.544, 1468260568.477386
0.540, 1468260568.478942
0.540, 1468260568.480926
0.542, 1468260568.482513
0.540, 1468260568.484069
0.537, 1468260568.487762
0.552, 1468260568.490173
0.557, 1468260568.492523
0.549, 1468260568.495819
0.562, 1468260568.498352
0.540, 1468260568.500701
0.566, 1468260568.503784
0.574, 1468260568.508728
0.581, 1468260568.510498
0.564, 1468260568.512115
0.557, 1468260568.513824
0.549, 1468260568.515655
0.544, 1468260568.517272
0.532, 1468260568.518798
0.535, 1468260568.520446
0.527, 1468260568.522003
0.532, 1468260568.523498
0.525, 1468260568.525909
0.544, 1468260568.528869
0.554, 1468260568.531280
0.527, 1468260568.533569
0.530, 1468260568.536895
0.571, 1468260568.539245
0.562, 1468260568.541625
0.562, 1468260568.544708
0.562, 1468260568.550231
0.576, 1468260568.551940
0.554, 1468260568.553588
0.552, 1468260568.555541
0.547, 1468260568.557189
0.542, 1468260568.558746
0.540, 1468260568.560272
0.530, 1468260568.561798
0.532, 1468260568.563323
0.532, 1468260568.567230
0.571, 1468260568.569824
0.564, 1468260568.572082
0.564, 1468260568.575286
0.554, 1468260568.577728
0.537, 1468260568.579498
0.530, 1468260568.581817
0.566, 1468260568.585968
0.576, 1468260568.589019
0.579, 1468260568.590698
0.559, 1468260568.592285
0.544, 1468260568.593811
0.544, 1468260568.595581
0.547, 1468260568.597198
0.540, 1468260568.598785
0.525, 1468260568.600311
0.535, 1468260568.601837
0.530, 1468260568.603363
0.527, 1468260568.607025
0.557, 1468260568.609649
0.535, 1468260568.612030
0.537, 1468260568.613800
0.547, 1468260568.617095
0.564, 1468260568.619476
0.554, 1468260568.621795
0.544, 1468260568.625549
0.581, 1468260568.628967
0.581, 1468260568.630676
0.564, 1468260568.632263
0.544, 1468260568.633789
0.544, 1468260568.635559
0.535, 1468260568.637145
0.535, 1468260568.638671
0.532, 1468260568.640197
0.535, 1468260568.641723
0.530, 1468260568.643249
0.530, 1468260568.645568
0.527, 1468260568.648498
0.562, 1468260568.650817
0.525, 1468260568.653198
0.530, 1468260568.656524
0.576, 1468260568.658966
0.576, 1468260568.661315
0.564, 1468260568.664733
0.584, 1468260568.668731
0.576, 1468260568.671997
0.574, 1468260568.673675
0.562, 1468260568.675506
0.557, 1468260568.677124
0.549, 1468260568.678649
0.532, 1468260568.680175
0.535, 1468260568.681732
0.530, 1468260568.683227
0.520, 1468260568.685607
0.552, 1468260568.688568
0.532, 1468260568.690948
0.559, 1468260568.693267
0.525, 1468260568.696502
0.566, 1468260568.698944
0.571, 1468260568.701263
0.571, 1468260568.705474
0.588, 1468260568.708526
0.584, 1468260568.710235
0.564, 1468260568.711822
0.552, 1468260568.713378
0.544, 1468260568.715179
0.544, 1468260568.716766
0.540, 1468260568.718322
0.530, 1468260568.719848
0.530, 1468260568.721374
0.535, 1468260568.722869
0.537, 1468260568.725769
0.535, 1468260568.729492
0.557, 1468260568.733337
0.549, 1468260568.735931
0.544, 1468260568.738311
0.544, 1468260568.741333
0.552, 1468260568.743713
0.571, 1468260568.746337
0.554, 1468260568.749481
0.571, 1468260568.752227
0.571, 1468260568.755340
0.571, 1468260568.757019
0.549, 1468260568.758636
0.549, 1468260568.760192
0.540, 1468260568.761718
0.535, 1468260568.763244
0.532, 1468260568.767578
0.562, 1468260568.769958
0.535, 1468260568.772338
0.576, 1468260568.775543
0.547, 1468260568.777954
0.569, 1468260568.780303
0.544, 1468260568.783355
0.571, 1468260568.786590
0.581, 1468260568.790161
0.584, 1468260568.791870
0.566, 1468260568.793487
0.557, 1468260568.796722
0.557, 1468260568.798431
0.549, 1468260568.800109
0.549, 1468260568.801666
0.530, 1468260568.803192
0.527, 1468260568.807250
0.569, 1468260568.809844
0.559, 1468260568.812194
0.566, 1468260568.815399
0.549, 1468260568.817840
0.569, 1468260568.820251
0.566, 1468260568.823089
0.576, 1468260568.826568
0.576, 1468260568.829223
0.564, 1468260568.830902
0.544, 1468260568.832489
0.547, 1468260568.834014
0.542, 1468260568.835784
0.537, 1468260568.837341
0.530, 1468260568.838867
0.530, 1468260568.840423
0.535, 1468260568.841918
0.527, 1468260568.843444
0.532, 1468260568.847778
0.566, 1468260568.850158
0.557, 1468260568.852508
0.554, 1468260568.855682
0.537, 1468260568.858062
0.571, 1468260568.860443
0.569, 1468260568.863525
0.579, 1468260568.867065
0.588, 1468260568.869567
0.557, 1468260568.871215
0.547, 1468260568.872772
0.549, 1468260568.874328
0.537, 1468260568.876129
0.540, 1468260568.877685
0.537, 1468260568.879211
0.527, 1468260568.880737
0.535, 1468260568.882232
0.525, 1468260568.883758
0.540, 1468260568.887908
0.559, 1468260568.890319
0.559, 1468260568.892639
0.569, 1468260568.895904
0.540, 1468260568.898193
0.569, 1468260568.900817
0.537, 1468260568.903900
0.574, 1468260568.907135
0.581, 1468260568.909759
0.562, 1468260568.911437
0.559, 1468260568.912994
0.542, 1468260568.914550
0.537, 1468260568.916320
0.535, 1468260568.917877
0.530, 1468260568.919433
0.525, 1468260568.922576
0.554, 1468260568.924194
0.547, 1468260568.927947
